A01	Badanie ogolne moczu (profil)
S99	Escherichia coli Antygen enterotoksyna cieplostabilna
T01	Amikacyna
T03	Amiodaron
T05	Amitryptylina
T07	Chinidyna
T09	Chloramfenikol
T11	Cyklosporyna A (CsA)
T13	Dezypramina
T15	Digitoksyna
T17	Digoksyna
T19	Doksepina
T21	Dyzopyramid
T23	Etosuksymid
T25	Fenobarbital
T27	Fenytoina
T29	Flekainid
T30	Gentamycyna
T31	Imipramina
T33	Karbamazepina
T35	Klomipramina
T37	Lidokaina
T39	Meksyletyna
T41	Metotreksat
T43	N-acetylo-prokainamid (NAPA)
T45	Netylmycyna
T47	Nortryptylina
T49	Prokainamid
T51	Propafenon
T53	Prymidon
T54	Sirolimus
T55	Teofilina
T56	Takrolimus
T57	Tobramycyna
T59	Walproinowy kwas
T61	Wankomycyna
U01	Escherichia coli, Vibrio cholerae Antygen enterotoksyny cieplochwiejne
U02	Francisella tularensis Przeciwciala
U03	Haemophilus influenzae (typ a,b,c,d,e,f) Antygen (surowice monowalente)
U04	Haemophilus influenzae (typ b) Antygen
U05	Haemophilus influenzae DNA
U06	Helicobacter pylori Przeciwciala
U07	Helicobacter pylori Przeciwciala IgA (anty-H.pylori IgA)
U08	Helicobacter pylori Przeciwciala IgA - test potwierdzenia
U09	Helicobacter pylori Przeciwciala IgA (ilosciowy)
U10	Helicobacter pylori IgG Przeciwciala (anty-H.pylori IgG)
U11	Helicobacter pylori IgG Przeciwciala - test potwierdzenia
U12	Helicobacter pylori IgG Przeciwciala (ilosciowo)
U13	Helicobacter pylori IgM Przeciwciala (ilosciowo)
U14	Helicobacter pylori IgG/ IgA Przeciwciala (anty-H. pylori IgG/ IgA)
U15	Helicobacter pylori Antygen
U16	Legionella pneumophila (1-7) Przeciwciala IgG
U17	Legionella pneumophila (1-7) Przeciwciala IgM
U18	Legionella pneumophila Antygen
U19	Legionella pneumophila IgG/ IgM/ IgA
U20	Legionella pneumophila Serogrupa 1 Antygen
U21	Legionella pneumophila Serogrupa 2-14 Antygen
U22	Legionella spp. Antygen
U23	Leptospira Antygen
U24	Leptospira Przeciwciala IgG
U25	Leptospira Przeciwciala IgM
U26	Listeria spp. Antygen
U27	Listeria monocytogenes DNA
U28	Mycobacterium avium DNA
U29	Mycobacterium avium complex DNA
U30	Mycobacterium kansasii DNA
U31	Mycobacterium gordonae DNA
U32	Mycobacterium intracellulare DNA
U33	Mycobacterium tuberculosis Przeciwciala IgA (anty-M.tuberculosis IgA)
U34	Mycobacterium tuberculosis Przeciwciala IgG (anty-M.tuberculosis IgG)
U35	Mycobacterium tuberculosis Przeciwciala IgG (ilosciowo)
U36	Mycobacterium tuberculosis Przeciwciala IgM (anty-M. tuberculosis IgM)
U37	Mycobacterium tuberculosis complex DNA
U38	Mycoplasma pneumoniae Antygen
U39	Mycoplasma pneumoniae Przeciwciala IgA (anty-M.pneumoniae IgA)
U40	Mycoplasma pneumoniae Przeciwciala IgA (ilosciowo)
U41	Mycoplasma pneumoniae Przeciwciala IgG (anty-M.pneumoniae IgG)
U42	Mycoplasma pneumoniae IgG/ IgA Przeciwciala
U43	Mycoplasma pneumoniae Przeciwciala IgM (anty-M.pneumoniae IgM)
U44	Mycoplasma pneumoniae Przeciwciala IgM - test potwierdzenia
U45	Mycoplasma pneumoniae Przeciwciala IgG/ IgM
U46	Neisseria gonorrhoeae DNA
U47	"Neisseria meningitidis (Grupy A-D; X-Z; W135) Antygen (surowica poliwalentna)"
U48	Neisseria meningitidis (Grupa A, B, C, D, X, Y, Z, W135, 29E) Antygen (surowica monowalentna)
U49	Neisseria meningitidis B / E. coli K1 Antygen
U50	Neisseria meningitidis A,B / E.coli K1, C, Y/W Antygen (rozpuszczalne)
U51	Neisseria meningitidis A,C,Y,W135 Antygen (lateks poliwalentny)
U52	Proteus spp. Antygen (surowica monowalentna)
U53	Pseudomonas aeruginosa Antygen (surowica poliwalentna)
U54	Pseudomonas aeruginosa Antygen (surowica monowalentna)
U55	Salmonella spp. Antygen (surowica poliwalentna)
U56	Salmonella spp. Antygen (surowica monowalentna)
U57	Salmonella spp. Przeciwciala IgA
U58	Salmonella spp. Przeciwciala IgG
U59	Salmonella spp. Przeciwciala IgM
U60	Salmonella Typhi, Salmonella Paratyphi A B C Antygen (surowica poliwalentna)
U61	Shigella boydii Antygen (surowica poliwalentna)
U62	Shigella Dysenteriae Antygen (surowica monowalentna)
U63	Shigella dysenteriae Antygen (surowica poliwalentna)
U64	Shigella Flexneri Antygen (surowica poliwalentna)
U65	Shigella Sonnei Antygen (surowica polwalentna)
U66	Staphylococcus aureus Antygen
U67	Staphylococcus aureus Antygen PBP2,
U68	Staphylococcus aureus Antygen enterotoksyny
U69	Staphylococcus aureus Antygen TSST-1
U70	Staphylococcus aureus DNA
U71	Staphylococcus aureus gen mec A
U72	Streptococcus pneumoniae Antygen
U73	Streptococcus pneumoniae DNA
U74	Streptococcus Gr. A,B,C,D,F,G Antygen (lateks monowalentny)
U75	Streptococcus pyogenes Gr. A Przeciwciala (Antystreptolizyna O)
U76	Streptococcus Gr. B Antygen
U77	Streptococcus Gr. B Antygen (B I, B II, B III)
U78	Streptococcus Gr. B DNA
U79	Treponema pallidum Przeciwciala (anty- T.pallidum)
U80	Treponema pallidum IgG Przeciwciala (anty-T.pallidum IgG)
U81	Treponema pallidum Przeciwciala IgG - test potwierdzenia
U82	Treponema pallidum Przeciwciala IgM (anty-T.pallidum IgM)
U83	Treponema pallidum Przeciwciala IgM - test potwierdzenia
U84	Treponema pallidum Przeciwciala IgG/ IgM (anty-T. pallidum IgG/ IgM)
U85	Treponema pallidum Antygen
U86	Vibrio cholerae Antygen (surowica poliwalentna 0:1)
U87	Yersinia Przeciwciala IgG (anty-Yersinia IgG)
U88	Yersinia Przeciwciala IgM (anty-Yersinia IgM)
U89	Yersinia Przeciwciala IgA (anty-Yersinia IgA)
U90	Yersinia Przeciwciala IgG/ IgM (anty-Yersinia IgG/ IgM)
U91	Yersinia Przeciwciala IgG/ A (anty-Yersinia IgG/ A)
U92	Yersinia enterocolitica Przeciwciala IgA
U93	Yersinia enterocolitica Przeciwciala IgA - test potwierdzenia
U94	Yersinia enterocolitica Przeciwciala IgG
U95	Yersinia enterocolitica Przeciwciala IgG - test potwierdzenia
U96	Yersinia enterocolitica Przeciwciala IgM
U97	Yersinia enterocolitica Przeciwciala IgA/IgM
U98	Yersinia enterocolitica Przeciwciala IgA/ IgM - test potwierdzenia
U99	"Yersinia Antygen (surowica monowalentna O:3; O:9)"
V01	Wirus Parainfluenzy typ 2 Przeciwciala IgG/ IgM (anty-Parainfluenza 2 IgG/ IgM)
V02	Wirus Parainfluenzy typ 2 Przeciwciala IgG
V03	Wirus Parainfluenzy typ 1 + 2 Antygen
V04	Wirus Parainfluenzy typ 3 IgG Przeciwciala
V05	Wirus Parainfluenzy typ 3 IgG/ IgM Przeciwciala (anty-Parainfluenza 3 IgG/ IgM)
V06	Wirus Parainfluenzy typ 3 Antygen
V07	Wirus Parainfluenzy typ 1, 2, 3 Przeciwciala IgA (anty-Parainfluenza 1/2/3 IgA)
V08	Wirus Parainfluenzy typ 1, 2, 3 Przeciwciala IgA (anty-Parainfluenza 1/2/3 IgA) (ilosciowo)
V09	Wirus Parainfluenzy typ 1, 2, 3 Przeciwciala IgG (anty-Parainfluenza 1/2/3 IgG)
V10	Wirus Parainfluenzy typ 1, 2, 3 Przeciwciala IgM (anty-Parainfluenza 1/2/3 IgM)
V11	Wirus Parainfluenzy typ 1, 2, 3 Przeciwciala IgG/ IgM (anty-Parainfluenza 1/2/3 IgG/ IgM)
V12	Wirus Poliomyelitis Przeciwciala IgG (anty-Poliovirus IgG)
V13	Wirus Poliomyelitis Przeciwciala IgM (anty-Poliovirus IgM)
V14	Wirus RS Antygen
V15	Wirus RS Przeciwciala IgA (anty-RSV IgA)
V16	Wirus RS Przeciwciala IgG (anty-RSV IgG)
V17	Wirus RS Przeciwciala IgM (anty-RSV IgM)
V18	Wirus RS Przeciwciala IgG/ IgM (anty-RSV IgG/ IgM)
V19	Wirus rozyczki (Rubella virus) Przeciwciala IgG (anty-Rubella virus IgG)
V20	Wirus rozyczki (Rubella virus) Przeciwciala IgG - test potwierdzenia
V21	Wirus rozyczki (Rubella virus) Przeciwciala IgG (anty-Rubella virus IgG) (ilosciowo)
V22	Wirus rozyczki (Rubella virus) Przeciwciala
V23	Wirus rozyczki (Rubella virus) IgM (anty-Rubella virus IgM)
V24	Wirus rozyczki (Rubella virus) Przeciwciala IgM (anty-Rubella virus IgM) (ilosciowo)
V25	Wirus rozyczki (Rubella virus) Przeciwciala IgG/ IgM
V26	Rubella virus + CMV + Toxoplasma Rubella IgG + CMV IgM + Toxo IgG
V27	Wirus zapalenia watroby typu A (HAV) Przeciwciala (calkowite)
V28	Wirus zapalenia watroby typu A Przeciwciala IgG
V29	Wirus zapalenia watroby typu A Przeciwciala IgM
V30	Wirus zapalenia watroby typu A + B HAV IgM + HBs Antygen
V31	Wirus zapalenia watroby typu B (HBV) Przeciwciala HBc (calkowite)
V32	Wirus zapalenia watroby typu B HBc IgM
V33	Wirus zapalenia watroby typu B HBc IgM (ilosciowo)
V34	Wirus zapalenia watroby typu B HBc IgG
V35	Wirus zapalenia watroby typu B HBe Antygen
V36	Wirus zapalenia watroby typu B HBe/anty Hbe
V37	Wirus zapalenia watroby typu B PrzeciwcialaHBc IgG + HBs
V38	Wirus zapalenia watroby typu B HBe Przeciwciala
V39	Wirus zapalenia watroby typu B HBs Antygen
V40	Wirus zapalenia watroby typu B HBs Antygen (ilosciowo)
V41	Wirus zapalenia watroby typu B HBs Antygen (potwierdzajacy)
V42	Wirus zapalenia watroby typu B Przeciwciala HBs
V43	Wirus zapalenia watroby typu B HBc IgG/HBs Przeciwciala
V44	Wirus zapalenia watroby typu B HBs Antygen + HBc IgM
V45	Wirus zapalenia watroby typu B HBs Antygen + Przeciwciala HBs + HBc IgG
V46	Wirus zapalenia watroby typu B HBs Antygen + Przeciwciala + HBc IgG + HBc IgM
V47	Wirus zapalenia watroby typu B HBV-DNA
V48	Wirus zapalenia watroby typu C (HCV) Przeciwciala (anty-HCV)
V49	Wirus zapalenia watroby typu C Przeciwciala (potwierdzajacy)
V50	Wirus zapalenia watroby typu C Przeciwciala IgM
V51	Wirus zapalenia watroby typu C Przeciwciala IgM - test potwierdzenia
V52	Wirus zapalenia watroby typu C Przeciwciala IgG
V53	Wirus zapalenia watroby typu C Przeciwciala IgG - test potwierdzenia
V54	Wirus zapalenia watroby typu C HCVcAntygen (antygen rdzeniowy)
V55	Wirus zapalenia watroby typu C HCV-RNA
V56	Wirus zapalenia watroby typu C HCV-RNA (ilosciowo)
V57	Wirus zapalenia watroby typu D (HDV) Antygen
V58	Wirus zapalenia watroby typu D Przeciwciala
V59	Wirus zapalenia watroby typu D Przeciwciala (ilosciowo)
V60	Wirus zapalenia watroby typu D Przeciwciala IgG
V61	Wirus zapalenia watroby typu D Przeciwciala IgM
V62	Wirus zapalenia watroby typu E (HEV) Przeciwciala
V63	Wirus zapalenia watroby typu E Przeciwciala IgG
V64	Wirus zapalenia watroby typu E Przeciwciala IgM
V65	Wirus zapalenia watroby typu E Przeciwciala IgG/ IgM
V66	Wirus zapalenia mozgu zachodniego Nilu Przeciwciala IgG
V67	Wirus Varicella-Zoster Przeciwciala IgA (anty-Varicella-Zoster IgA)
V68	Wirus Varicella-Zoster Przeciwciala IgG (anty-Varicella-Zoster IgG)
V69	Wirus Varicella-Zoster Przeciwciala IgM (anty-Varicella-Zoster IgM)
V70	Wirus Varicella-Zoster Przeciwciala IgG/ IgM (anty-Varicella-Zoster IgG/ IgM)
V71	Wirusy Coxsackie Przeciwciala IgG
V72	Wirusy Coxsackie Przeciwciala IgM
V73	Wirusy Coxsackie Przeciwciala IgA
V74	Wirusy ECHO Przeciwciala IgG
V75	Wirusy ECHO Przeciwciala IgM
V76	Wirusy ECHO Przeciwciala IgA
V81	Wirus Varicella-Zoster VZV-DNA
W01	Aspergillus spp. Antygen rozpuszczalny - galaktomannan
W03	Aspergillus spp. Przeciwciala IgA
W05	Aspergillus spp. Przeciwciala IgG
W07	Aspergillus spp. Przeciwciala IgM
W09	Aspergillus fumigatus Przeciwciala
W11	Aspergillus fumigatus Przeciwciala IgG/ IgM
W13	A. niger, A. nidulans, A. flavus, A. terreus Przeciwciala
W15	Blastomyces dermatididis DNA
W17	Candida spp. Antygen rozpuszczalny – mannan
W19	Candida albicans Przeciwciala IgG/ IgM (antymannanowe)
W21	Candida spp. Przeciwciala IgG
W23	Candida albicans Przeciwciala IgA
W25	Candida spp. Przeciwciala IgM
W27	Candida albicans Przeciwciala
W29	Coccidioides immitis DNA
W31	Cryptococcus neoformans Antygen (glycuronoxylomannan)
W33	Histoplasma capsulatum DNA
W35	Pneumocystis carinii (jirovecii) Antygen (oocysty)
X01	Ascaris lumbricoides Przeciwciala IgG (anty-Ascaris lumbricoides)
X03	Cryptosporidium Antygen (Cryptosporidium Antygen)
X05	Echinococcus granulosus Przeciwciala IgG (anty-Echinococcus IgG)
X07	Entamoeba histolytica Antygen (Entamoeba histolytica Antygen)
X09	Entamoeba histolytica Przeciwciala IgG (anty-Entamoeba histolytica IgG)
X11	Entamoeba histolytica Przeciwciala (calkowite)
X13	Giardia lamblia Antygen (Giardia lamblia Antygen)
X15	Giardia/ Cryptosporidium Antygen
X17	Leishmania Przeciwciala IgG (anty-Leishmania IgG)
X19	Leishmania Przeciwciala (calkowite)
X21	Leishmania Antygen
X23	P.f, P.v, P.m., P.o (Malaria) Antygen
X25	Plasmodium falciparum Przeciwciala (calkowite)
X27	Schistosoma mansoni Przeciwciala IgG (anty-Schistosoma mansoni IgG)
X29	Strongyloides Przeciwciala IgG
X31	Taenia solium Taenia solium IgG) Przeciwciala IgG (anty-Taenia solium IgG)
X33	Toxocara canis Przeciwciala IgG (anty-Toxocara canis IgG)
X35	Toxoplasma gondii Przeciwciala
X37	Toxoplasma gondii Przeciwciala IgA (anty-Toxoplasma gongii IgA)
X39	Toxoplasma gondii Przeciwciala IgA (anty-Toxoplasma gongii IgA) (ilosciowo)
X41	Toxoplasma gondii Przeciwciala IgG (anty-Toxoplasma gondii IgG)
X43	Toxoplasma gondii IgG Przeciwciala (anty-Toxoplasma gondii IgG) (ilosciowo)
X45	Toxoplasma gondii Przeciwciala IgM (anty-Toxolpasma gondii IgM)
X47	Toxoplasma gondii Przeciwciala IgG + IgM Przeciwciala
X49	Toxoplasma gondii Awidnosc Przeciwciala IgG (anty-T. gondii)
X51	Toxoplasma gondii Antygen
X53	Trichinella spiralis Przeciwciala IgG (anty-Trichinella IgG)
X55	Trypanosoma crusi Przeciwciala IgG (Trypanosoma crusi IgG)
Y90	Badanie histopatologiczne
00.01	Terapia ultradzwiekowa naczyń glowy i szyi
00.01	Terapia ultradzwiekowa naczyń glowy i szyi
00.02	Terapia ultradzwiekowa serca
00.02	Terapia ultradzwiekowa serca
00.03	Terapia ultradzwiekowa obwodowych naczyń krwionosnych
00.03	Terapia ultradzwiekowa obwodowych naczyń krwionosnych
00.09	Inna terapia ultradzwiekowa
00.10	Wszczepienie srodka chemioterpeutycznego
00.10	Wszczepienie srodka chemioterpeutycznego
00.11	Wlew bialka rekombinowanego
00.12	Podanie wziewne tlenku azotu
00.12	Podanie wziewne tlenku azotu
00.13	Wstrzykniecie lub wlew nesiritydu
00.14	Wstrzykniecie lub wlew antybiotyku z grupy oxazolidynonow
00.15	Wlew duzych dawek interleukiny - 2 [IL-2]
00.15	Wlew duzych dawek interleukiny - 2 [IL-2]
00.16	Terapia bypassem zylnym (pochodzacym z materialu zylnego) z uzyciem substancji leczniczej, pod cisnieniem
00.16	Terapia bypassem zylnym (pochodzacym z materialu zylnego) z uzyciem substancji leczniczej, pod cisnieniem
00.17	Wlew czynnika wazopresyjnego
00.18	Wlew lub wstrzykniecie czynnikow immunosupresyjnych
00.18	Wlew lub wstrzykniecie czynnikow immunosupresyjnych
00.18	Wlew lub wstrzykniecie czynnikow immunosupresyjnych
00.21	Obrazowanie wewnatrznaczyniowe zewnatrzczaszkowych naczyń mozgowych
00.21	Obrazowanie wewnatrznaczyniowe zewnatrzczaszkowych naczyń mozgowych
00.22	Wewnatrznaczyniowe obrazowanie naczyń klatki piersiowej
00.22	Wewnatrznaczyniowe obrazowanie naczyń klatki piersiowej
00.22	Wewnatrznaczyniowe obrazowanie naczyń klatki piersiowej
00.23	Wewnatrznaczyniowe obrazowanie naczyń obwodowych
00.23	Wewnatrznaczyniowe obrazowanie naczyń obwodowych
00.23	Wewnatrznaczyniowe obrazowanie naczyń obwodowych
00.24	Wewnatrznaczyniowe obrazowanie naczyń wieńcowych
00.25	Wewnatrznaczyniowe obrazowanie naczyń nerkowych
00.25	Wewnatrznaczyniowe obrazowanie naczyń nerkowych
00.28	Wewnatrznaczyniowe obrazowanie, inne okreslone naczynia
00.29	Wewnatrznaczyniowe obrazowanie, nieokreslone naczynia
00.31	Chirurgia wspomagana komputerowo z TK
00.32	Chirurgia wspomagana komputerowo MRI
00.33	Chirurgia wspomagana komputerowo z fluoroskopia
00.34	Chirurgia wspomagana komputerowo bez obrazowania
00.35	Chirurgia wspomagana komputerowo z uzyciem wielu baz danych
00.36	Chirurgia wspomagana komputerowo z neuronawigacja
00.39	Inne rodzaje chirurgii wspomaganej komputerowo
00.40	Zabieg na pojedynczym naczyniu
00.41	Zabieg na dwoch naczyniach
00.42	Zabieg na trzech naczyniach
00.43	Zabieg na czterech lub wiecej naczyniach
00.44	Zabieg na rozwidleniu naczyń
00.45	Wprowadzenie jednego stentu naczyniowego
00.46	Wprowadzenie dwoch stentow naczyniowych
00.47	Wprowadzenie trzech stentow naczyniowych
00.48	Wprowadzenie czterech lub wiecej stentow naczyniowych
00.49	Embolizacja tetniakow wewnatrzczaszkowych
00.49	Embolizacja tetniakow wewnatrzczaszkowych
00.49	Embolizacja tetniakow wewnatrzczaszkowych
00.50	Wszczepienie ukladu resynchronizujacego serce bez funkcji defibrylacji [CRT-P]
00.51	Wszczepienie ukladu resynchronizujacego serce z funkcja defibrylacji [CRT-D]
00.52	Wprowadzenie lub wymiana elektrody w systemie zyl wieńcowych lewej komory z dostepu zylnego
00.53	Wszczepienie lub wymiana systemu umiarawiania pracy serca, generatora impulsow regulujacego rytm serca (tylko) [CRT-P]
00.53	Wszczepienie lub wymiana systemu umiarawiania pracy serca, generatora impulsow regulujacego rytm serca (tylko) [CRT-P]
00.54	Wszczepienie lub wymiana systemu umiarawiania pracy serca, generatora impulsow do defibrylacji (tylko) [CRT-D]
00.54	Wszczepienie lub wymiana systemu umiarawiania pracy serca, generatora impulsow do defibrylacji (tylko) [CRT-D]
00.61	Przezskorna angioplastyka lub aterektomia naczyń przedmozgowych (zewnatrzczaszkowych)
00.61	Przezskorna angioplastyka lub aterektomia naczyń przedmozgowych (zewnatrzczaszkowych)
00.61	Przezskorna angioplastyka lub aterektomia naczyń przedmozgowych (zewnatrzczaszkowych)
00.62	Przezskorna angioplastyka lub aterektomia naczyń wewnatrzczaszkowych
00.63	Przezskorne wprowadzenie stentu(ow) do tetnicy szyjnej
00.63	Przezskorne wprowadzenie stentu(ow) do tetnicy szyjnej
00.63	Przezskorne wprowadzenie stentu(ow) do tetnicy szyjnej
00.63	Przezskorne wprowadzenie stentu(ow) do tetnicy szyjnej
00.64	Przezskorne wprowadzenie stentu (-ow) do innej tetnicy przedmozgowej (zewnatrzczaszkowej)
00.64	Przezskorne wprowadzenie stentu (-ow) do innej tetnicy przedmozgowej (zewnatrzczaszkowej)
00.65	Przezskorne wprowadzenie stentu(ow) do naczyń wewnatrzczaszkowych
00.66	Przezskorna srodnaczyniowa balonowa angioplastyka naczyń wieńcowych [PTCA] lub aterektomia naczyń wieńcowych
00.66	Przezskorna srodnaczyniowa balonowa angioplastyka naczyń wieńcowych [PTCA] lub aterektomia naczyń wieńcowych
00.66	Przezskorna srodnaczyniowa balonowa angioplastyka naczyń wieńcowych [PTCA] lub aterektomia naczyń wieńcowych
00.67	Wprowadzenie stentow uwalniajacych lek antyproliferacyjny do naczyń obwodowych 
00.67	Wprowadzenie stentow uwalniajacych lek antyproliferacyjny do naczyń obwodowych 
00.67	Wprowadzenie stentow uwalniajacych lek antyproliferacyjny do naczyń obwodowych 
00.70	Operacja rewizyjna stawu biodrowego z wymiana panewki i elementu udowego
00.70	Operacja rewizyjna stawu biodrowego z wymiana panewki i elementu udowego
00.70	Operacja rewizyjna stawu biodrowego z wymiana panewki i elementu udowego
00.71	Operacje rewizyjne stawu biodrowego z wymiana elementow panewkowych i udowych
00.71	Operacje rewizyjne stawu biodrowego z wymiana elementow panewkowych i udowych
00.71	Operacje rewizyjne stawu biodrowego z wymiana elementow panewkowych i udowych
00.72	Operacje rewizyjne stawu biodrowego z uzyciem elementow udowych i panewkowych
00.72	Operacje rewizyjne stawu biodrowego z uzyciem elementow udowych i panewkowych
00.72	Operacje rewizyjne stawu biodrowego z uzyciem elementow udowych i panewkowych
00.73	Operacje rewizyjne stawu biodrowego z wymiana wkladki panewki i/lub protezy glowy kosci udowej
00.73	Operacje rewizyjne stawu biodrowego z wymiana wkladki panewki i/lub protezy glowy kosci udowej
00.73	Operacje rewizyjne stawu biodrowego z wymiana wkladki panewki i/lub protezy glowy kosci udowej
00.74	Wymiana powierzchni podparcia stawu biodrowego, metalowej na polietylenowa
00.75	Wymiana powierzchni podparcia stawu biodrowego, metalowej na metalowa
00.76	Wymiana powierzchni podparcia stawu biodrowego, ceramicznej na ceramiczna
00.77	Operacje rewizyjne w obrebie stawu biodrowego
00.77	Operacje rewizyjne w obrebie stawu biodrowego
00.77	Operacje rewizyjne w obrebie stawu biodrowego
00.77	Operacje rewizyjne w obrebie stawu biodrowego
00.78	Operacje stawu biodrowego 
00.78	Operacje stawu biodrowego 
00.78	Operacje stawu biodrowego 
00.78	Operacje stawu biodrowego 
00.78	Operacje stawu biodrowego 
00.80	Operacja rewizyjna kolana, calkowita (wszystkie elementy)
00.80	Operacja rewizyjna kolana, calkowita (wszystkie elementy)
00.80	Operacja rewizyjna kolana, calkowita (wszystkie elementy)
00.81	Operacje rewizyjne stawu kolanowego, wymiana czesci piszczelowej endoprotezy
00.82	Operacje rewizyjne stawu kolanowego, wymiana czesci udowej endoprotezy
00.82	Operacje rewizyjne stawu kolanowego, wymiana czesci udowej endoprotezy
00.83	Operacje rewizyjne stawu kolanowego, wymiana czesci rzepkowej endoprotezy
00.84	Operacje rewizyjne stawu kolanowego, wymiana wkladki piszczelowej
00.85	Operacje stawu kolanowego
00.85	Operacje stawu kolanowego
00.85	Operacje stawu kolanowego
00.85	Operacje stawu kolanowego
00.85	Operacje stawu kolanowego
00.91	Organ do przeszczepu od zywego spokrewnionego dawcy
00.92	Organ do przeszczepu od zywego niespokrewnionego dawcy
00.93	Organ do przeszczepu od zmarlego dawcy
00.94	Zabieg wykonany technika endoskopowa/ laparoskopowa
00.95	Analiza toksykologiczna materialu biologicznego
00.96	Inne procedury i zabiegi diagnostyczno - lecznicze
00.96	Inne procedury i zabiegi diagnostyczno - lecznicze
00.96	Inne procedury i zabiegi diagnostyczno - lecznicze
01.01	Naklucie zbiornika podpajeczynowkowego
01.02	Naklucie drenu wprowadzonego do komory (mozgu)
01.09	Naklucie czaszki - inne
01.09	Naklucie czaszki - inne
01.09	Naklucie czaszki - inne
01.09	Naklucie czaszki - inne
01.09	Naklucie czaszki - inne
01.11	Przezskorna biopsja opon mozgu
01.12	Biopsja opon mozgu
01.13	Przezskorna biopsja mozgu
01.13	Przezskorna biopsja mozgu
01.14	Otwarta biopsja mozgu
01.15	Biopsja kosci czaszki
01.18	Inne zabiegi diagnostyczne mozgu i opon mozgowych
01.19	Inne zabiegi diagnostyczne czaszki
01.21	Naciecie/ drenaz zatok czaszki
01.22	Usuniecie wewnatrzczaszkowego neurostymulatora
01.23	Powtorne otwarcie w miejscu kraniotomii
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.24	Kraniotomia - inne
01.25	Inna kraniektomia
01.25	Inna kraniektomia
01.25	Inna kraniektomia
01.26	Wprowadzenie cewnika do jamy czaszki
01.27	Usuniecie cewnika z jamy czaszki
01.31	Naciecie opon mozgu
01.31	Naciecie opon mozgu
01.31	Naciecie opon mozgu
01.31	Naciecie opon mozgu
01.32	Lobotomia/ traktotomia
01.32	Lobotomia/ traktotomia
01.32	Lobotomia/ traktotomia
01.32	Lobotomia/ traktotomia
01.39	Inne naciecia mozgu
01.39	Inne naciecia mozgu
01.39	Inne naciecia mozgu
01.41	Operacje na wzgorzu
01.41	Operacje na wzgorzu
01.41	Operacje na wzgorzu
01.42	Operacja galki bladej mozgu
01.42	Operacja galki bladej mozgu
01.51	Wyciecie zmiany opony mozgu
01.51	Wyciecie zmiany opony mozgu
01.51	Wyciecie zmiany opony mozgu
01.52	Hemisferektomia
01.53	Lobektomia mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
01.59	Inne wyciecie lub zniszczenie tkanki mozgu
